abash, to make ashamed, verb 
accolade, to embrace or kiss in salutation, verb 
accommodate," to adapt, as, to accommodate ourselves to circumstances", verb 
accompaniment, that which gives support or adds to the background, noun 
accompany, to perform an accompanying part or parts in a composition, verb 
accomplice," partner in activity, usually crime", noun 
accomplish, to finish successfully, verb 
accord," to make to agree or correspond, to suit one thing to another", verb 
accordion," to fold up, in the manner of an accordion", verb 
accost, to approach and speak to boldly or aggressively, verb 
account," to compute, to count", verb 
accouter, to furnish with dress or equipments, verb 
accouterments," dress, trappings, equipment", noun 
accredit," to put or bring into credit, to invest with credit", verb 
accretion, growth by slow buildup, noun 
accrue," to happen or result as a natural growth, addition", verb 
acculturation, adopting cultural elements of another culture, noun 
accumulate," to heap up in a mass, to collect", verb 
accurse, to devote to destruction, verb 
accusation, the act of with a crime or with a lighter offense, noun 
accuse," to find fault with, to blame", verb 
accustom," to make familiar by use, to cause to accept", verb 
acerbic," acid in temper, mood or tone", adjective 
acetate, any salt or ester of acetic acid, noun 
acetic," of, pertaining to, or producing vinegar", adjective 
achillean, invincible, adjective 
achromatic, without colour, adjective 
acidulous," slightly sour, sub-acid", adjective 
acknowledge," to admit the knowledge of, to recognize as a fact or truth", verb 
acknowledgment," the act of acknowledging, admission", noun 
acme," the top or highest point, pinnacle, culmination", noun 
acoustic, designed to carry sound or to aid in hearing, adjective 
acquaint, to make familiar, verb 
acquiesce, to rest satisfied, verb 
acquire, to get, verb 
acquisitive, acquired, adjective 
acquit," to declare or find not guilty, innocent", verb 
acreage," size, as measured in acres", noun 
acrid," sharp and harsh, or bitter and not to the taste, pungent", adjective 
acrimonious," of or pertaining to words, arguments, quarrels", adjective 
acrimony," bitterness or sharpness of manner, speech, temper", noun 
acrophobia, fear of heights, noun 
actionable, affording grounds for legal action, adjective 
actuality," the state of existing, existence", noun 
actuarial, of or pertaining to actuaries, adjective 
actuary," registrar, clerk", noun 
acuity," sharpness or acuteness, as of a needle, wit, etc", noun 
acumen," quickness of perception or discernment, penetration of mind", noun 
acute, sharp, adjective 
ad, hoc specifically for, adjective 
ad, infinitum to infinity, adjective 
adage," an old saying, which has obtained credit by long use", noun 
adamant," resistant to reason, determined, inflexible", adjective 
adapt," to make suitable, to make to correspond, to fit or suit", verb 
addendum, an addition or change, noun 
addle, to make or become confused, verb 
adduce, to cite (as proof), verb 
adept," well skilled, completely versed, thoroughly proficient", adjective 
adhere," to stick fast or cleave, to become joined or united", verb 
adhesion, the ability of a substance to stick to an unlike substance, noun 
adieu," a farewell, a goodbye, especially a fond farewell", noun 
adjacent," close, or contiguous, neighboring, bordering on", adjective 
adjourn, to postpone, verb 
adjudge, to declare to be, verb 
adjudicate, to settle a legal case or other dispute, verb 
adjunct, attached to another in a dependent or subordinate position, noun 
adjuration, a grave warning, noun 
adjutant, a military officer, adjective 
administrator," one who administers affairs, one who directs or manages", noun 
admissible," accepted or allowed, acceptable", adjective 
admittance, the act of admitting, noun 
admonish," to warn of a fault, to reprove gently, but seriously", verb 
ado," to do, in doing, as, there is nothing ado", noun 
adoration, an act of religious worship, noun 
adorn, to decorate, verb 
adroit, dexterous, adjective 
adulation," flattery, fulsome praise", noun 
adulterate," to make impure by adding improper, or inferior ingredients", verb 
adumbrate, to foreshadow vaguely, verb 
advent," coming, arrival", noun 
adventitious," from an external source, not innate or inherent", adjective 
adversary, an enemy, noun 
adverse," unfavorable, antagonistic in purpose or effect, hostile", adjective 
adversity, hardship (usually uncountable), noun 
advert, to turn attention, verb 
advisory, able to give advice, adjective 
advocacy, active support, noun 
advocate, to speak in favor of, verb 
aegis," the shield or breastplate of zeus or athena, protection", noun 
aerial," of, in, or from the air, atmospheric", adjective 
aeronaut, one who glides through the air in an airship or balloon, noun 
aerostat, an aircraft that derives its lift from buoyancy, noun 
aesthete, a person who has refined sensitivity towards art or nature, noun 
aesthetic, having a sense of beauty, adjective 
affable," pleasant, easy to approach", adjective 
affect, to influence or alter, verb 
affiliate," to adopt, to receive into a family as a son, to ally", verb 
affiliation, the relationship resulting from association, noun 
affinity," a natural liking for or attraction to a person, thing, idea", noun 
affirmation," a declaration that something is true, an oath", noun 
affirmative," pertaining to truth, asserting that something is true", adjective 
affix, to attach, verb 
afflict, to distress with mental/bodily pain, verb 
affluent," having lots of wealth, property or other material goods", adjective 
affront," to insult intentionally, especially openly", verb 
aficionado, a fan or devotee, noun 
afire, on fire, adjective 
afoot, on foot, adjective 
aforesaid, a previously stated statement, adjective 
afresh, anew, adjective 
afrikaans," an official language of south africa, developed out of dutch", noun 
agglomerate," to wind or collect into a ball, to gather into a mass", verb 
aggrandize, to widen in scope, verb 
aggravate," to make worse, or more severe", verb 
aggregate," to bring together, to collect into a mass or sum", verb 
aggress," to set upon, to attack", verb 
aggrieve," to give pain or sorrow to, to afflict, to oppress", verb 
aghast," terrified, struck with amazement", adjective 
agile," active, quick and coordinated", adjective 
agitate," to move with a violent, irregular action", verb 
agnostic, the doubt of a higher power/being, adjective 
agog," in eager desire, eager, astir", adjective 
agrarian," of, or relating to, the ownership and cultivation of land", adjective 
agriculture, the art or science of cultivating the ground, noun 
aide-de-camp, a military officer who assists a higher ranking officer, noun 
ailment," a disease, sickness", noun 
akin," related by blood, similar", adjective 
alabaster, a finely granular variety of gypsum, noun 
alacrity, cheerful readiness, noun 
albeit," although, even if", adjective 
albino," a person, plant or animal with a deficiency in pigmentation", adjective 
alchemy, the search for a universal panacea (became chemistry), noun 
alcoholism, a chronic disorder characterized by dependence on alcohol, noun 
alcove, a small recessed area set off from a larger room, noun 
alder, belonging to the birch tree family, noun 
alderman, a member of several municipal legislative bodies, noun 
alias, a false name used to conceal one's identity, noun 
alibi," an excuse, especially to avoid blame", noun 
alien, a person who has been estranged or excluded, noun 
alienate, to make indifferent or hostile, verb 
aliment," that which nourishes, food", noun 
alimony, a court-enforced allowance made to a former spouse, noun 
alkali, one of a class of caustic bases, noun 
allay," to make quiet or put at rest, to pacify or appease", verb 
allege, to assert without proof, verb 
allegiance," loyalty to a person, group, or cause", noun 
allegory, a symbolic narrative, noun 
alleviate," to make easier to endure, lessen", verb 
alliance," the state of being allied, the act of allying or uniting", noun 
allocate, to assign or plot, verb 
allot, to distribute by lot, verb 
alloy, to mix, verb 
allude, to refer casually or indirectly, verb 
allure," to invite by something flattering or acceptable, to entice", verb 
allusion," an indirect reference, a hint, a reference to something", noun 
alluvion," overflow, flood", noun 
ally," to unite, or form a connection between", verb 
almanac," a book or table listing nautical, astronomical, etc. Events", noun 
aloft, in or into the air, adverb 
aloof," reserved and remote, physically or emotionally distant", adjective 
altar, a table or similar flat-topped structure for religious rites, noun 
alter, to change the form or structure of, verb 
alteration, the act of making different, noun 
altercate," to argue, quarrel or wrangle with someone", verb 
alternate," to perform by turns or in succession, interchange regularly", verb 
alternative, relating to a choice between two or more possibilities, adjective 
altitude, the height measured from sea level up to any given point, noun 
alto, a musical section higher than tenor and lower than soprano, noun 
altruism," regard for others, both natural and moral, kindness", noun 
amalgam, a combination of different things, noun 
amalgamate," blend, merge", verb 
amass, to collect into a mass or heap, verb 
amateur, non-professional, adjective 
amatory, of or relating to love, adjective 
ambiance," mood, quality, atmosphere", noun 
ambidextrous, having equal ability in both hands, adjective 
ambiguous," to be vague, non-specific", adjective 
ambitious," possessing, or controlled by ambition", adjective 
ambivalent," experiencing contradictory feelings, beliefs, or motivations", adjective 
amble," slow walk, stroll", noun 
ambrosial, succulently sweet or fragrant, adjective 
ambulance, emergency vehicle that transports sick or injured people, noun 
ambulate, to relocate one's self under the power of one's own legs, verb 
ambush, to act of lying in concealment as to attack by surprise, verb 
ameliorate," to make or become better, to improve", verb 
amenable," open to influence or advice, agreeable", adjective 
amend," to make better, to change", verb 
amenity, pleasantness, noun 
americanism, a trait particuliar to the us or its citizens, noun 
amiable," friendly, sociable", adjective 
amicable," peaceable, characterized by showing goodwill", adjective 
amiss," wrong, faulty, out of order, improper", adjective 
amity, the cooperative and supportive relationship between people, noun 
amnesty, to grant a pardon (to a group), verb 
amoral, being neither moral nor immoral, adjective 
amorous," inclined to love, having a propensity to love", adjective 
amorphous, lacking definite form, adjective 
amour, a love affair, noun 
ampere, the base si unit of electrical current, noun 
ampersand," the symbol ""&""", noun 
amphibious, able to live in water and on land, adjective 
amphitheater, a semi-circular acoustic backdrop for an outdoor venue, noun 
ample," large, great in size, extent, capacity, or bulk, spacious", adjective 
amplitude," the measure of something's size, largeness, magnitude", noun 
amply, abundantly, adverb 
amputate," to surgically remove a part of the body, especially a limb", verb 
amusement, entertainment, noun 
anachronism," a chronological mistake, the erroneous dating of an event", noun 
anagram, a word/phrase formed from another rearranging its letters, noun 
analgesic," of or relating to analgesia, anodyne", adjective 
analogous," corresponding to something else, bearing some resemblance", adjective 
analogy, similarity between like features of two things, noun 
analyst, someone who analyzes, noun 
analyze, to subject to analysis, verb 
anarchy, a state of society without government or law, noun 
anathema, a person or thing detested or loathed, noun 
anatomy, the art of studying the different parts of an organized body, noun 
ancestry," condition as to ancestors, ancestral lineage", noun 
ancillary," subordinate, secondary, auxiliary, accessory", adjective 
anecdote," a short account of a history, usually amusing", noun 
anemia, a medical condition of too little hemoglobin, noun 
anemometer, a device to measure wind speed, noun 
anesthesia," a method of preventing sensation, used to eliminate pain", noun 
anew, over again, adverb 
angelic," belonging to, resembling, or proceeding from, angels", adjective 
anglo-saxon, native or inhabitant of england prior to the norman conquest, adjective 
anglophobia, fear or dislike of england, noun 
anguish, to suffer pain, verb 
angular," relating to an angle or angles, having an angle or angles", adjective 
anhydrous, free from water, adjective 
animadversion," a criticism, a critical remark", noun 
animalcule, an older term for a microscopic animal or protozoan, noun 
animate, to impart motion or the appearance of motion to, verb 
animosity, strong hostility, noun 
animus, the basic impulses and instincts which govern one's actions, noun 
annal, occurring once a year, noun 
annex," to add something to another, to incorporate into", verb 
annihilate," to reduce to nothing, to destroy, to eradicate", verb 
annotate, to add annotation, verb 
annuity, a specified income payable at stated intervals for period, noun 
annul, to formally revoke the validity of, verb 
annunciation, the act of announcing something, noun 
anode, electrode of an electrochemical cell where oxidation occurs, noun 
anoint, to rub or sprinkle on, verb 
anomalous," deviating from what is standard, expected or normal", adjective 
anomaly, a deviation from a rule or from what is regarded as normal, noun 
anonymity," the quality or state of being anonymous, anonymousness", noun 
antagonism," a strong natural dislike or hatred, antipathy", noun 
ante," risks, stakes", verb 
antecede," to go before, to precede", verb 
antechamber, a small room used as an entryway area to a larger room, noun 
antedate," to occur before an event or time, to predate", verb 
antediluvian," old, ancient", adjective 
antemeridian," of or relating to morning, that happens in the morning", adjective 
antemundane, being or occurring prior to the creation of the world, adjective 
antenatal, occurring or existing before birth, adjective 
anterior, before in place, adjective 
anteroom," a waiting room, a small room before a larger one", noun 
anthology, a book or collection of writings, noun 
anthracite, a slow-burning coal, noun 
anthropocentric, giving preference to humans above all other considerations, adjective 
anthropoid, having characteristics of a human being, adjective 
anthropology, the holistic scientific and social study of humanity, noun 
anthropomorphous, resembling a human being, adjective 
antic, a ludicrous or extravagant gesture, verb 
antichrist, one who works against the teachings of christ, noun 
antidepressant, a substance that is used in the treatment of mood disorders, noun 
antidote, a remedy to counteract the effects of poison, noun 
antigen, a toxin that induces an immune response in the body, noun 
antilogy, a contradiction in related terms or ideas, noun 
antipathy, a deep seated feeling of dislike, noun 
antiphon, a devotional piece of music sung responsively, noun 
antiphony," alternate, responsive singing by a two part choir", noun 
antipodes, any two places that are on opposite sides of the earth, noun 
antiquary," a person who is knowledgeable of, or who collects antiques", noun 
antiquate, to cause to become old or obsolete, verb 
antique," of, or belonging to the past, not modern", adjective 
antiseptic," of, or relating to antisepsis, or the use of antiseptics", adjective 
antislavery, opposed to the practice of slavery, adjective 
antispasmodic," referring to something that suppresses spasms, like a drug", adjective 
antistrophe, the second section of an ancient Greek choral ode, noun 
antithesis, a proposition diametrically opposite of another proposition, noun 
antitoxin," a substance, formed in the body, that counters a toxin", noun 
antonym, a word which has the opposite meaning of another, noun 
anxious," greatly concerned, respecting something future or unknown", adjective 
apartheid, any system that separates people according to race, noun 
apathy, complete lack of emotion or motivation about something, noun 
aperture, an opening or gap in something, noun 
apex, the highest point of something, noun 
aphorism, a saying embodying a general truth, noun 
apiary, a place where bees and their hives are kept, noun 
aplomb," self-confidence, poise, composure", noun 
apocryphal, of doubtful authenticity, adjective 
apogee, the point in orbit around Earth when the object is farthest, noun 
apolitical, having no interest or involvement in politics, adjective 
apostasy, the renunciation of a belief or set of beliefs, noun 
apostate," a person who forsakes his religion, cause, party", noun 
apostle," a missionary, or leader of a religious mission", noun 
apothecary, a person who makes and provides/sells drugs and/or medicines, noun 
apothegm," a short, witty, instructive saying, an aphorism or maxim", noun 
apotheosis, the fact or action of becoming or making into a god, noun 
appalling, causing dismay or horror, adjective 
apparent," capable of being seen, or easily seen", adjective 
apparition," a supernatural appearance of a person or thing, like a ghost", noun 
appease, pacify or placate, verb 
appellate, describing something that is appealed to, adjective 
append, to add as supplement or in addition, verb 
appertain, to relate to, verb 
applicable," suitable for application, relevant, appropriate", adjective 
application, the act of putting to a special use or purpose, noun 
apportion, to divide and distribute portions of a whole, verb 
apposite," appropriate, relevant, well-suited, fit", adjective 
appraise, to assess the value or quality of, verb 
apprehend," to take or seize, to take hold of", verb 
apprehensive, anticipating something with anxiety or fear, adjective 
apprentice, a person who's learning a trade from a skilled employer, noun 
apprise," to notify, or to make aware, to inform", verb 
approbation, approval, noun 
appropriate, suitable or fitting for a particular purpose, adjective 
appurtenance, an appendage added to something else, noun 
apropos, of an appropriate or pertinent nature, adjective 
aptitude, natural ability to acquire knowledge or skill, noun 
aquatic, relating to water, adjective 
aqueduct, a small canal containing fluid, noun 
aqueous, consisting mostly of water, adjective 
arable," suitable for cultivation, such as by ploughing", adjective 
arbiter, a person empowered to make decisions, noun 
arbitrary," random, not based on reason or system", adjective 
arbitrate," to judge, to umpire", verb 
arbitrator, a person delegated the authority to settle a dispute, noun 
arbor," a shady sitting place, usually in a park or garden", noun 
arboreal, of or relating to trees, adjective 
arboriculture, the cultivation of trees and shrubs, noun 
arcade, a row of arches, noun 
arcane, known or understood by very few, adjective 
archaeology, the scientific study of historic or prehistoric peoples, noun 
archaic, of or characterized by antiquity, adjective 
archangel, a powerful angel that leads many other angels, noun 
archbishop, a senior bishop who is in charge of an archdiocese, noun 
archdeacon," (anglican,eastern orthodox) a senior administrative official", noun 
archetype, the original model from which all similar things are copied, noun 
archipelago, a cluster of island, noun 
archive, any extensive record or collection of data, noun 
ardent," intensely devoted, fervent, passionate", adjective 
ardor, passion, noun 
arduous, difficult and tiring, adjective 
aria, a musical piece written for a solo voice with accompaniment, noun 
arid, extremely dry, adjective 
aristocrat," one of a ruling class, a noble", noun 
armada, a fleet of warships, noun 
armful, the amount an arm or arms can hold, noun 
armistice, a formal agreement to end fighting, noun 
armory, a place where arms (weapons) are kept, noun 
aroma, smell (usually in relation to food), noun 
arouse," to evoke or awaken a feeling, emotion or response", verb 
arraign, to officially charge someone in a court of law, verb 
arrange," to set up, to organize, especially in a positive manner", verb 
arrangement, the act of arranging, noun 
arrant," complete, total", adjective 
arrear," work to be done, obligation", noun 
arrogant," haughty, conceited", adjective 
arrogate," assume, take or claim (something) without justification", verb 
arroyo," a small watercourse, usually dry except for heavy rains", noun 
arsenal, a collection or supply of weapons or munitions, noun 
artesian, pertaining to a well in which water rises from pressure, adjective 
artful," performed with, or characterized by, art or skill", adjective 
arthurian, of or relating to the legend of king arthur, adjective 
articulate, express (an idea of feeling) fluently and coherently, verb 
artifact, an object made or shaped by humans, noun 
artifice, a crafty but underhanded deception, noun 
artisan, a worker in a skilled trade, noun 
artless," having or displaying no guile, cunning, or deceit", adjective 
ascendant," rising, moving upward", adjective 
ascent, the act of ascending a motion upwards, noun 
ascertain," to find out definitely, to discover or establish", verb 
ascetic, a person who practices severe self-discipline, noun 
ascribe, to attribute a cause or characteristic to something, verb 
aseptic, free of disease-causing microbes, adjective 
asexual," having no distinct sex, having no interest in sex", adjective 
ashen, of the pale gray color of ash, adjective 
asinine," foolish, unintelligent or silly", adjective 
askance," turned to the side, especially of the eyes", adjective 
askew, turned or twisted to one side, adjective 
asperity, harshness of tone or manner, noun 
aspersion, an attack on somebody's reputation or good name, noun 
aspiration," ambition, goal", noun 
aspire," to hope or dream, especially towards a profession", verb 
assail, to make a concerted of violent attach on, verb 
assailant, someone who attacks or assails another violently, noun 
assassin, to assassinate, verb 
assay, to examine or analyze, verb 
assent," to agree to, give approval to", verb 
assert, to state a fact or belief confidently and forcefully, verb 
assess," to determine, estimate or judge the value of, to evaluate", verb 
assessor, one who assesses a property for tax evaluation, noun 
asset, something or someone of any value, noun 
asseverate," to declare earnestly, seriously, or positively, to affirm", verb 
assiduous," diligent, industrious", adjective 
assignee, one to whom a thing is assigned, noun 
assimilate, to take in and incorporate as one's own, verb 
assonance, the repetition of similar or identical vowel sounds, noun 
assonant, having successive similar vowel sounds, adjective 
assonate, to correspond in (particularly vowel) sounds, verb 
assuage, make an unpleasant feeling less intense, verb 
assurance, a declaration tending to inspire full confidence, noun 
astound, to overwhelm with amazement, verb 
astral," relating to or resembling the stars, starry", adjective 
astringent," sharp, caustic, severe", adjective 
astute," shrewd, sharp", adjective 
asunder," apart, divided", adjective 
asylum, a place of safety, noun 
atheist," of or relating to atheists or atheism, atheistic", adjective 
athirst, thirsty, adjective 
athwart," across, crosswise", adv 
atomizer, an instrument for reducing a liquid to spray or vapor, noun 
atone," to make reparation, compensation, or amends, for an offence", verb 
atrocious," frightful, evil, cruel or monstrous", adjective 
atrocity, an extremely wicked or cruel act, noun 
atrophy, to wither or waste away, verb 
attache, an official associated with an embassy, noun 
attain," to accomplish, to achieve", verb 
attainment, the act of arriving at or reaching, noun 
attenuate," to reduce in size, force, value, amount, or degree", verb 
attest," to affirm to be correct, true, or genuine", verb 
attribute," to ascribe (something) to a given cause, reason etc", verb 
attrition, wearing or grinding down by friction, noun 
atypical, not conforming to the normal type, adjective 
auburn, of a reddish-brown colour, adjective 
audacious," showing willingness to take bold risks, recklessly daring", adjective 
audible, capable of being heard, adjective 
audit," an official verification of records, especially financial", noun 
audition, a trial to test a performer's suitability for something, noun 
auditor, a person appointed to examine accounting records, noun 
auditory," of, or relating to hearing", adjective 
augment, to make bigger, verb 
augur," to foretell events, to exhibit signs of future events", verb 
augury, a divination based on the behaviour of animals, noun 
august," inspiring reverence or admiration, majestic", adjective 
augustinian, pertaining to st. augustine of hippo, noun 
aura, distinctive atmosphere or quality associated with something, noun 
aural, of or pertaining to the ear, adjective 
aureole," any encircling ring of light, halo", noun 
auricle, the outer ear or pinna, noun 
auriferous," containing or producing gold, gold-bearing", adjective 
aurora, an atmospheric phenomenon creating bands of light in the sky, noun 
auroral, pertaining to the dawn, adjective 
auspice, patronage or protection, noun 
austere," severe or strict in manner, attitude, or appearance", adjective 
autarchy, a condition of absolute power, noun 
authentic," of the same origin as claimed, genuine", adjective 
authoritarian," of, or relating to, absolute obedience to an authority", adjective 
autobiography," a self-written biography, the story of one's own life", noun 
autocracy, a form of government in which one individual holds all power, noun 
autocrat, an absolute ruler with infinite power, noun 
automaton, a robot designed to follow a sequence of instructions, noun 
autopsy, a post-mortem examination to discover the cause of death, noun 
autumnal, of or relating to autumn, adjective 
auxiliary," helping, giving assistance or support", adjective 
avalanche, a large mass of snow sliding suddenly downward, noun 
avant-garde," innovative, pioneering, especially when obviously so", adjective 
avarice," greediness over wealth, covetousness", noun 
avatar, an incarnation or manifestation of a person or idea, noun 
avenge, to vindicate by inflicting pain or evil on a wrongdoer, verb 
aver, to state or assert to be the case, verb 
averse, to turn away, verb 
avert, to turn aside or away, verb 
aviary, an enclosure for keeping birds confined, noun 
avid, having or showing keen interest, adjective 
avidity," greediness, strong appetite", noun 
avocation," a calling away, a diversion", noun 
avow, assert or confess openly, verb 
avuncular," in the manner of an uncle, pertaining to an uncle", adjective 
awaken, to cause to become awake, verb 
awe, to inspire fear and reverence, verb 
awry," crooked, distorted, out of place", adjective 
axiom, a self-evident truth requiring no proof, noun 
aye," an affirmative vote, one who votes in the affirmative", noun 
azan, (Islam) the call to prayer proclaimed five times a day, noun 
azure," a light, purplish shade of blue", adjective 
bacchanalian, riotously drunken, adjective 
baconian, of or pertaining to the philosopher Francis Bacon, adjective 
bacterium, a single celled organism with no nucleus, noun 
badger," to pester, to annoy persistently", verb 
badinage," playful raillery, banter", noun 
baffle," totally bewilder, confuse or perplex", verb 
bailiff," a legal officer, similar to a sheriff or deputy", noun 
baize, a woollen fabric resembling felt, noun 
bale," a large, wrapped bundle of something (ie, cotton, hay)", noun 
baleful," threatening harm, menacing", adjective 
balk, to pass over or by, verb 
ballast, any heavy material used to stabilize a ship, noun 
balsam, a sweet-smelling oil or resin derived from various plants, noun 
banal, so lacking in originality as to be obvious and boring, adjective 
bandy," to give and receive reciprocally, to exchange", verb 
bane, a cause of great distress or annoyance, noun 
banter, the playful and friendly exchange of teasing remarks, noun 
bar," except fro, apart from", preposition 
barb, a sharp projection near the end of an arrow or similar item, noun 
barcarole, a venetian folk song traditionally sung by gondoliers, noun 
bard," a poet, often one who plays an instrument", noun 
baritone, the male voice between tenor and bass, noun 
barograph, a recording aneroid barometer, noun 
barometer, an instrument for measuring atmospheric pressure, noun 
barrage, to bombard someone with something, verb 
barren," empty, vacant", adjective 
barrister, a lawyer who pleads in court, noun 
barterer, one who trades goods for other goods without involving money, noun 
bashful," shy, inclined to avoid notice", adjective 
bask," to revel in, to lie exposed to warmth and light", verb 
bass, of sound which is low in pitch or frequency, adjective 
baste," to sew with long, loose stitches", verb 
bastion, a projecting part of a rampart or other fortification, noun 
bathos," depth, bottom", noun 
baton, a short stick or staff used to conduct, noun 
battalion, a large body of troop ready for battle, noun 
batten," to become better, improve in condition", verb 
battery, a fortified emplacement for heavy guns, noun 
bauble," a cheap showy ornament piece of jewellery, a gewgaw", noun 
bawdy," soiled, dirty", adjective 
bawl, to shout or utter in a loud and intense manner, verb 
beam," to emit beams of light, shine, radiate,", verb 
beatific," blessed, blissful, heavenly", adjective 
beatify, to make blissful, verb 
beatitude," supreme, utmost bliss and happiness", noun 
beau, a frequent or attentive male companion, noun 
becalm," to make calm or still, make quiet, calm", verb 
beck, a stream or small river, noun 
bedaub," to smear upon, to soil", verb 
bedeck," to deck, ornament, or adorn, to grace", verb 
bedlam, a place or situation of chaotic uproar, noun 
bedraggle, to make something wet and limp, verb 
befog, to envelop in fog, verb 
befriend, to make a friend of, verb 
befuddle, to perplex or confuse (someone), verb 
beget," to cause, to produce", verb 
begrudge, to be reluctant, verb 
beguile, to deceive or delude craftily, verb 
behemoth, a huge or monstrous creature, noun 
behest," to promise, vow", verb 
belabor, to work at something more than necessary, verb 
belay," to surround, environ, enclose", verb 
beleaguer, to lay siege to, verb 
belie," to lie around, encompass", verb 
belle, an attractive woman, noun 
bellicose, demonstrating aggression and willingness to fight, adjective 
belligerent," hostile, aggressive", adjective 
bellwether," the leading sheep of a flock, usually wearing a bell", noun 
bemoan," to complain about, to dismay or worry about something", verb 
bemuse, to confuse or bewilder, verb 
benediction, the utterance or bestowing of a blessing, noun 
benefactor, somebody who gives one a gift, noun 
benefice, to bestow a benefice upon, verb 
beneficial, helpful or good to something or someone, adjective 
beneficiary, one who benefits or receives an advantage, noun 
benefit, to be or to provide a benefit to, verb 
benevolent, having a disposition to do good, adjective 
benign," gentle, kindly", adjective 
benison," a blessing, benediction", noun 
bent," curved, crooked", adjective 
bequeath, to pass or to leave something over to someone else, verb 
berate," scold, chide", verb 
bereave," to deprive by or as if by violence, rob, strip", verb 
bereft, deprived, adjective 
beret," a type of round, brimless cap with a soft top and a headband", noun 
berserk, furiously violent or out of control, adjective 
berth, to bring (a ship or vehicle) into its berth, verb 
beseech, to beg or implore, verb 
beset, to surround or hem in, verb 
besmear," to smear over, sully", verb 
besmirch," to make dirty, to soil", verb 
bestial, beast-like, adjective 
bestow," to lay up in store, deposit for safe keeping, stow, place", verb 
bestrew," to strew or scatter about, throw or drop here and there", verb 
bestride, to be astride something, verb 
bete, noire something especially disliked or dreaded, noun 
bethink," to think about, to recollect", verb 
betide, to happen to, verb 
betimes, before the usual or expected time, adv 
betroth, to promise to give in marriage, verb 
bevel, to give a canted edge to a surface, verb 
bewilder, to cause someone to become perplexed and confused, verb 
bibliography, a section of a written work with citations to all references, noun 
bibliomania, the obsession of owning valuable books, noun 
bibliophile, one who loves books, noun 
bibulous, very absorbent, adjective 
bicameral," pertaining to, two separate legislative chambers or houses", adjective 
bicker," to quarrel in a tiresome, insulting manner", verb 
bide," (chiefly dialectal) to bear, to endure, to tolerate", verb 
biennial, happening every two years, adjective 
bier, a litter to transport the corpse of a dead person, noun 
bifurcate, to divide or fork into two channels or branches, verb 
bigamy, the state of having two spouses simultaneously, noun 
bight," a corner, bend, or angle", noun 
bigot, a person utterly intolerant of any differing opinion, noun 
bilateral, having two sides, adjective 
bilge, the widest circumference or belly of a cask, noun 
bilingual, fluent in two languages, adjective 
bilious," peevish, irritable", adjective 
bilk, to obtain money fraudulently, verb 
billow, present participle of billow, verb 
biography, a written account of another person's life, noun 
biped," an animal, or being that goes about on two feet or legs", noun 
birthright," something owed since birth, due to inheritance", noun 
bitterness, the quality of having a bitter taste, noun 
bivouac, to set up camp, verb 
bizarre, strangely unconventional in style or appearance, adjective 
blanch, to grow or become white, verb 
bland," mild, soft, gentle", adjective 
blandish," to persuade someone by using flattery, to cajole", verb 
blare, to make a loud sound, verb 
blasé, uninterested because of frequent exposure or indulgence, adjective 
blaspheme, to speak against god or religious doctrine, verb 
blatant, obvious, adjective 
blaze, a bright flame or fire, noun 
